name,code,url,gasDayStart,gasInStorage,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,status,trend,full,info,country,short_company,company_name
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-20,3.3873,22.43,0,11.3451,99.18,104.59,C,0.2,29.86,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-19,3.3649,0,0,11.3451,99.18,104.59,C,0,29.66,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-18,3.3649,0,0,11.3451,99.18,104.59,C,0,29.66,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-17,3.3649,0,0,11.3451,99.18,104.59,C,0,29.66,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-16,3.3654,0.8,0.3,11.3451,99.18,104.59,C,0,29.66,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-15,3.3649,70.64,0,11.3451,99.18,104.59,C,0.62,29.66,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-14,3.2943,64.64,0,11.3451,99.18,104.59,C,0.57,29.04,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-13,3.2296,70.91,0,11.3451,99.18,104.59,C,0.63,28.47,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-12,3.1587,76.58,0,11.3451,99.18,104.59,C,0.68,27.84,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-11,3.0822,75.63,0,11.3451,99.18,104.59,C,0.67,27.17,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-10,3.0065,58.15,0,11.3451,99.18,104.59,C,0.51,26.5,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-09,2.947,86.86,0,11.3451,99.18,104.59,C,0.77,25.98,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-08,2.8601,135.21,0,11.3451,99.18,104.59,C,1.19,25.21,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-07,2.7249,132.5,0,11.3451,99.18,104.59,C,1.17,24.02,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-06,2.5924,97.31,0,11.3451,99.18,104.59,C,0.86,22.85,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-05,2.4951,54.01,0,11.3451,99.18,104.59,C,0.48,21.99,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-04,2.4411,35.64,7.2,11.3451,99.18,104.59,C,0.25,21.52,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-03,2.4127,66.32,0,11.3451,99.18,104.59,C,0.58,21.27,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-02,2.3463,81.09,0,11.3451,99.18,104.59,C,0.71,20.68,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-05-01,2.2652,127.12,0,11.3451,99.18,104.59,C,1.12,19.97,[],AT,astora,astora GmbH
UGS Haidach (astora),21W000000000078N,21W000000000078N/AT/21X000000001160J,2022-04-30,2.1381,108.75,0,11.3451,99.18,104.59,C,0.96,18.85,[],AT,astora,astora GmbH
